id,ingredients,steps,ingredients_clean
resep-24955519,"['1 butir telur', '1 butir kuning telur', '60 gr tepung terigu', '15 gr maizena rose brand', '1/2 sdm garam', '1/2 sdm kaldu jamur', '1/4 sdm gula pasir', '3 tetes pewarna kuning', '15 ml minyak', '180 ml air', '300 gr paha ayam fillet', '1 butir putih telur', '3 siung bawang putih (iris, goreng)', '1 siung bawang merah (iris, goreng)', '1 sdm saori', '1 sdm minyak wijen', '1 sdm kecap asin', '1/2 sdm garam', '1/2 sdm lada bubuk', '1/2 sdm kaldu jamur', '1/2 sdm gula pasir', '1/2 sdm bubuk pala (bubuk ngohiong)', '1 sdm tepung tapioka', '1 sdm maizena Rose brand', '40 ml air es', '1 sdm tepung terigu', 'Secukupnya air']","[{'text': 'Siapkan semua bahan. Bahan kulit, bahan isian dan bahan perekat.', 'images': ['https://img-global.cpcdn.com/steps/1284d8b1c429fa1a/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/70dca270356b9399/400x400cq80/photo.jpg']}, {'text': 'Kocok telur dan semua bahan, kecuali tepung terigu, maizena dan air. Selanjutnya masukkan terigu, maizena dan air sedikit demi sedikit sampai kental dan tidak ada yg bergerinjil.', 'images': ['https://img-global.cpcdn.com/steps/5376bf51c4924303/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/3ed5e5b1643124c2/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/c07df2f25d3d8d89/400x400cq80/photo.jpg']}, {'text': 'Tuang air sampai habis (Adonan memang encer). Kalau perlu disaring agar hasilnya mulus. Sisihkan sebentar.', 'images': ['https://img-global.cpcdn.com/steps/4394565cf80de70b/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/5404c2b55a53c454/400x400cq80/photo.jpg']}, {'text': 'Sambil menggoreng bawang, potong kecil paha ayam fillet agar gampang di chopper.', 'images': ['https://img-global.cpcdn.com/steps/5da5e78999af86a8/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/3b0c2180b62cc3b5/400x400cq80/photo.jpg']}, {'text': 'Masukkan semua bahan isian ke dalam chopper. Chopper hingga halus.', 'images': ['https://img-global.cpcdn.com/steps/d631f59ef13a909c/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/2e4f37b0be1f821b/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/1b8f231137accb3a/400x400cq80/photo.jpg']}, {'text': 'Panaskan Teflon yang telah dioles minyak. Setelah panas tuangkan 1 sendok adonan kulit sambil diputar agar merata.', 'images': ['https://img-global.cpcdn.com/steps/68ac5bb88bb4d37a/400x400cq80/photo.jpg']}, {'text': 'Setelah pinggirannya mengering dan lepas sendiri dari Teflon, angkat dan beri isian. Gulung yang rapat seperti menggulung risol. Dan beri adonan perekat diujung nya agar tertutup rapat.', 'images': ['https://img-global.cpcdn.com/steps/b4ddf2d1b5bd33d8/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/bd6d0ad65e94facc/400x400cq80/photo.jpg']}, {'text': 'Oles kukusan dengan minyak. Panaskan kukusan hingga air mendidih lalu masukkan eggroll. Tutup kukusan dialasi dengan serbet. Kukus selama 15-20 menit.', 'images': ['https://img-global.cpcdn.com/steps/39a75e6d24d7af11/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/e8adba4293ae0379/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/ba1e2b8f9747b47c/400x400cq80/photo.jpg']}, {'text': 'Iris serong dan goreng hingga kecoklatan. Sajikan selagi hangat', 'images': ['https://img-global.cpcdn.com/steps/6b33aabef84e3689/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/0c7b086875ac0680/400x400cq80/photo.jpg']}, {'text': 'Jika ingin disimpan, letak di wadah tertutup dan simpan di freezer. (Tahan 3 bulan di freezer)', 'images': ['https://img-global.cpcdn.com/steps/385b00d573769efc/400x400cq80/photo.jpg']}]","telur, kuning telur, tepung terigu, maizena rose brand, garam, kaldu jamur, gula pasir, tetes pewarna kuning, minyak, air, paha ayam fillet, putih telur, bawang putih iris goreng, bawang merah iris goreng, saori, minyak wijen, kecap asin, garam, lada bubuk, kaldu jamur, gula pasir, bubuk pala bubuk ngohiong, tepung tapioka, maizena rose brand, air es, tepung terigu, air"
resep-24983411,"['500-600 gr Ayam, potong2', '50 gr minyak untuk menumis', '12 gr Kaldu Ayam (1sdt)', '15 ml kecap asin', '15 ml saus tiram', '25 ml kecap manis', '25 ml madu', '15 gr jahe parut (2 ruas jari)', '1 batang serai (18 gr)', '40 gr bawang merah', '30 gr bawang putih', '50 gr kemiri', '5 gr ketumbar bubuk', '2 gr daun salam (2 lembar)', '2 gr lada bubuk', '2 gr garam (1/4 sdt)', '2 gr minyak wijen', '300 ml air']","[{'text': 'Panaskan minyak, masukkan bawang merah dan bawang putih yang sudah dihaluskan, tumis sampai harum.Masukkan daun salam, jahe parut. Serai iris.', 'images': ['https://img-global.cpcdn.com/steps/a28431ab5a6bc905/400x400cq80/photo.jpg']}, {'text': 'Masukkan Ayam yang telah dicuci bersih kedalam tumisan bumbu,tambahkan ketumbar bubuk, garam,lada, aduk rata.', 'images': ['https://img-global.cpcdn.com/steps/2ed18c9f175654a8/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/f0ab91cfd4368309/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/b6811281eb25828c/400x400cq80/photo.jpg']}, {'text': 'Tambahkan,Lada, kaldu bubuk, garam,ketumbar, kecap manis, kecap Asin, saus tiram, minyak wijen, aduk rata.', 'images': ['https://img-global.cpcdn.com/steps/267653fe40053321/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/c3415066f30b09dd/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/3fae0843900accbe/400x400cq80/photo.jpg']}, {'text': 'Masak kurang lebih 20 menit/hingga air menyusut, kemudian tambahkan madu.', 'images': ['https://img-global.cpcdn.com/steps/e5b69b6626503014/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/f08e80c5fdcb0dc3/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/26bbb8524073d1fd/400x400cq80/photo.jpg']}, {'text': 'Masak hingga keluar minyak dan matang ( bagian bawah ayam kecoklatan.', 'images': ['https://img-global.cpcdn.com/steps/005502f3e5da73d5/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/613bbf3166ae6ec0/400x400cq80/photo.jpg']}]","ayam, minyak, kaldu ayam, kecap asin, saus tiram, kecap manis, madu, jahe jari, serai, bawang merah, bawang putih, kemiri, ketumbar bubuk, daun salam, lada bubuk, garam, minyak wijen, air"
resep-24975670,"['secukupnya Paha ayam dan 2 potong daging ayam ukuran kecil', '2 buah Jeruk nipis', 'secukupnya Garam', '2 sdm Minyak goreng u/ dibalur ke daging ayam sebelum dipanggang', 'secukupnya Minyak goreng', '1 buah Bawang bombay iris', '3 siung Bawang putih iris', 'secukupnya Saus tomat', 'secukupnya Saus cabai', '2 bungkus Saus tiram (difoto 1 bungkus, aslinya aku pakai 2 bungkus agar rasanya lebih mantul)', 'secukupnya Kecap manis (aku pakai produk kecap Sedapp)', 'secukupnya Air bersih', 'secukupnya Buah nenas dipotong kecil', 'secukupnya Cabai merah diiris serong', 'secukupnya Cabai hijau diiris serong', '1 batang Daun bawang diiris tipis (lupa dipakai )']","[{'text': 'Siapkan daging ayam. Pesiang, cuci bersih, tiriskan, marinasi menggunakan air perasan jeruk nipis dan garam. Setelah itu, tusuk daging ayam secara menyeluruh menggunakan garpu agar bumbu meresap sampai ke dalam, bilas lalu tiriskan (bisa juga diiris-iris. Sesuaikan dengan selera masing-masing).', 'images': ['https://img-global.cpcdn.com/steps/f9f46982e54370fc/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/ef4c4ba8ee6ae75e/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/627303d8641f6f2c/400x400cq80/photo.jpg']}, {'text': 'Baluri daging ayam dengan 2 sdm minyak goreng secara merata. Taruh ke dalam loyang, masukkan ke dalam oven, panggang ayam menggunakan suhu atas bawah 150° c selama 30 menit. Nb : Boleh digoreng, direbus maupun dikukus. Sesuaikan dengan selera masing-masing.', 'images': ['https://img-global.cpcdn.com/steps/311974a6ed9851d8/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/c7c93f91567b6646/400x400cq80/photo.jpg']}, {'text': 'Siapkan buah nenas, pesiang (kupas kulit, buang matanya dan potong), cuci bersih, tiriskan.', 'images': ['https://img-global.cpcdn.com/steps/35c93fbc85cec3e0/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/1224d885b0f9a9b6/400x400cq80/photo.jpg']}, {'text': 'Siapkan bahan pelengkap lainnya. Pesiang bahan, cuci bersih dan tiriskan.', 'images': ['https://img-global.cpcdn.com/steps/24ab999327207e3c/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/b1848a30fc9a91fc/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/c35ca728c1a04fca/400x400cq80/photo.jpg']}, {'text': 'Berikutnya, masak kuah asam manis. Panaskan minyak. Masukkan bawang bombay dan bawang putih. Tumis hingga layu, harum dan berwarna kuning keemasan.', 'images': ['https://img-global.cpcdn.com/steps/2c00633241fa67ee/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/7c795851eda89403/400x400cq80/photo.jpg']}, {'text': 'Masukkan saus tomat, saus cabai, air, kecap manis, nenas, cabai merah, cabai hijau dan saus tiram. Aduk-aduk.', 'images': ['https://img-global.cpcdn.com/steps/47801fa11ae47990/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/510b36806627cde7/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/cc55820819e5f04c/400x400cq80/photo.jpg']}, {'text': 'Masukkan ayam panggang 1/2 matang ke dalam wajan.', 'images': ['https://img-global.cpcdn.com/steps/5b8ff2beab26ea31/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/8cef44839008a5e9/400x400cq80/photo.jpg']}, {'text': 'Aduk sampai merata. Masak hingga matang. Koreksi rasa. Jika sudah pas, matikan kompor. Pindahkan ayam pedas manis asam ke dalam piring.', 'images': ['https://img-global.cpcdn.com/steps/bf9331544a24df21/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/3c6c5fe14788fac1/400x400cq80/photo.jpg']}, {'text': 'Ayam pedas manis asam yang enakk parrahh siap dinikmati sepenuh hati', 'images': ['https://img-global.cpcdn.com/steps/38fda4b1251048cc/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/2da5a19ece027880/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/2bfc93dcf4c560c5/400x400cq80/photo.jpg']}]","paha ayam daging ayam, jeruk nipis, garam, minyak goreng, minyak goreng, bawang bombay iris, bawang putih iris, saus tomat, saus cabai, saus tiram difoto aslinya aku pakai agar rasanya lebih mantul, kecap manis, air bersih, nenas, cabai merah, cabai hijau, daun bawang"
resep-24983731,"['1 kg ayam negri (dipotong 10)', '1 buah jeruk nipis', 'Secukupnya air', '1/2 bungkus kecil asam jawa', '2 sdm saus tiram', 'Secukupnya kecap manis', 'Sedikit gula merah', 'Secukupnya garam', '2 buah kemiri', 'Secukupnya penyedap rasa', '7 buah bawang merah', '3 buah bawang putih', '1 sdt lada bubuk/lada bijian', '1/2 sdm ketumbar bijian/bubuk', '1 sdm madu', 'Secukupnya minyak goreng', '5 cm jahe']","[{'text': 'Cuci bersih ayam pada air mengalir, kemudian lumuri dengan air perasan jeruk nipis & sedikit garam, diamkan selama ± 3 menit. Setelah 3 menit, cuci bersih kembali & rebus sebentar ayam selama ± 15 menit dengan secukupnya air. Jika sudah 15 menit, angkat & tiriskan ayam. Sisihkan.', 'images': ['https://img-global.cpcdn.com/steps/b4977f3ab2290633/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/fd67db4b821cd3fc/400x400cq80/photo.jpg']}, {'text': 'Kupas kulit bawang merah, bawang putih & juga jahe. Cuci bersih bawang merah, bawang putih, jahe & juga kemiri. Setelah itu haluskan : bawang merah, bawang putih, lada, ketumbar, kemiri, jahe & beri sedikit air/minyak goreng.', 'images': ['https://img-global.cpcdn.com/steps/b170664abde46248/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/6b06b14162be1173/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/37f6ebf653bb06c6/400x400cq80/photo.jpg']}, {'text': 'Panaskan minyak goreng, tumis bumbu yang sudah dihaluskan tadi sampai harum, kemudian masukkan ayam kedalamnya & aduk rata, setelah itu masukkan air secukupnya (kira - kira 1 liter air/disesuaikan dengan selera ya) kedalamnya. Beri saus tiram, penyedap rasa, garam, kecap manis, 1/2 bungkus kecil asam Jawa & sedikit gula merah. Aduk rata & koreksi rasa, masak sampai air menyusut 1/2. Jika sudah menyusut 1/2 masukkan madu, aduk rata & masak sampai air menyusut yg diinginkan', 'images': ['https://img-global.cpcdn.com/steps/aa571f217cc7bb36/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/7dd7e84d3b1722e9/400x400cq80/photo.jpg']}, {'text': 'Jika air sudah menyusut yang diinginkan,matikan api kompor & tuang kedalam wadah bersih/mangkok/piring. Kalau mau dimakan, bisa dipanggang terlebih dahulu menggunakan teflon. Sajikan dengan lalapan & juga sambel. Selamat mencoba. (Ayam yang berada didalam wadah bisa dimasukkan kedalam freezer & tutup rapat, bisa dijadikan sebagai Frozen food juga).', 'images': ['https://img-global.cpcdn.com/steps/dfb37c086e42d70e/400x400cq80/photo.jpg']}]","ayam negri, jeruk nipis, air, asam jawa, saus tiram, kecap manis, gula merah, garam, kemiri, rasa, bawang merah, bawang putih, lada bubuklada bijian, ketumbar bijianbubuk, madu, minyak goreng, jahe"
resep-24975281,"['2 kg sayap ayam', 'Secukupnya minyak untuk menggoreng', '2 sachet saus tiram', '2 sachet bawang putih bubuk', '1 sachet lada bubuk', '1 sdm garam', '1 sdm penyedap/ micin', '4 sdm saus tomat', '8 sdm saus sambal', '3 sdm bubuk paprika', '2 sdm cabe bubuk (saya pakai bon cabe level 10)', '5 sdm palm sugar', '2 sdm minyak wijen']","[{'text': 'Cuci bersih sayap ayam, potong jadi 2. Di wadah terpisah, campurkan semua bahan bumbu kemudian koreksi rasa.', 'images': ['https://img-global.cpcdn.com/steps/b4134d94a293390d/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/427664c8415f7f3c/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/4e7411a6fb21ec17/400x400cq80/photo.jpg']}, {'text': 'Jika rasa saus dirasa sudah pas, campur jadi 1 dengan ayam kemudian aduk rata. Marinasi 45 menit. Setelah dimarinasi, masak ayam selama 40 menit (api sedang-besar) sambil sesekali diaduk kemudian masak hingga air habis dan bumbu menempel pada ayam. Ayam bisa langsung digoreng/ disimpan untuk stock frozen food (pastikan dulu ayam dingin sebelum dipindah wadah dan disimpan di freezer).', 'images': ['https://img-global.cpcdn.com/steps/1c6277022c7da313/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/bc29243ed6ac5684/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/7cc88c7f802391c2/400x400cq80/photo.jpg']}, {'text': 'Panaskan secukupnya minyak untuk menggoreng ayam, gunakan api kecil-sedang, goreng ayam hingga matang. Sajikan ayam. Selamat mencoba.', 'images': ['https://img-global.cpcdn.com/steps/ff74c38244e4c6c1/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/cfbdd5da1202d1e6/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/70e2cfb4c83e52fa/400x400cq80/photo.jpg']}]","sayap ayam, minyak, saus tiram, bawang putih bubuk, lada bubuk, garam, micin, saus tomat, saus sambal, bubuk paprika, cabe bubuk, palm sugar, minyak wijen"
resep-24978641,"['1 ekor ayam (700 gram), potong sesuai selera', '5 sdm maizena', '500 ml minyak untuk menggoreng', '50 ml susu uht', '1 sdm air lemon/jeruk nipis/cuka', '2 sdm ketumbar butir', '5 butir bawang merah', '10 siung bawang putih', '3 lembar daun jeruk', '1 ruas kunyit', '1 ruas jahe', '5 butir kemiri goreng', '2 sdt kaldu jamur', '1 1/4 sdm garam', '25 ml air']","[{'text': 'Campur susu uht putih dan cuka, aduk rata. Diamkan ± 10 menit. Bersihkan ayam. Potongan jangan terlalu besar. Masukkan campuran susu uht dan air lemon/jeruk nipis/cuka.', 'images': ['https://img-global.cpcdn.com/steps/8b8acb7b3476dac8/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/eb27ffb27ac3bf24/400x400cq80/photo.jpg']}, {'text': 'Chopper/ulek bumbu yang dihaluskan (jika ulek, tidak perlu memakai 25 ml air).', 'images': ['https://img-global.cpcdn.com/steps/542961413b7140ad/400x400cq80/photo.jpg']}, {'text': 'Balurkan bumbu halus di ayam. Aduk hingga merata. Diamkan ayam minimal 1 jam, simpan dalam kulkas.', 'images': ['https://img-global.cpcdn.com/steps/c80c679be2f0070d/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/b16b9b89a6d3c9b1/400x400cq80/photo.jpg']}, {'text': 'Keluarkan ayam dari kulkas. Panaskan minyak goreng dalam wajan. Balurkan ayam dengan maizena, campur hingga merata.', 'images': ['https://img-global.cpcdn.com/steps/9faecbc370d390ae/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/16c725d2a570f7e7/400x400cq80/photo.jpg']}, {'text': 'Goreng ayam dengan api sedang hingga matang. Angkat, tiriskan. Hidangkan ayam dengan sambal.', 'images': ['https://img-global.cpcdn.com/steps/092bd6b405ceffae/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/fb890d175020d2b7/400x400cq80/photo.jpg']}]","ayam, maizena, minyak, susu uht, air lemonjeruk nipiscuka, ketumbar, bawang merah, bawang putih, daun jeruk, kunyit, jahe, kemiri goreng, kaldu jamur, garam, air"
resep-24978217,"['1/2 ekor ayam', '1 bh jeruk nipis', '1 sdm kecap asin', '2 sdm maizena Rose Brand', '1/2 sdt merica bubuk', '1/2 sdt garam', '3 siung bawang putih, geprek', '1/2 bh bawang bombai', '4 sdm Margarin Rose Brand', '3 sdm kecap inggris', '1 sdm saus tiram', '2 sdm kecap manis', '1 sdt Gula Pasir Rose Brand', '50 ml air', 'Secukupnya Minyak Goreng Rose Brand']","[{'text': 'Cuci bersih ayam, masukkan tepung Maizena Rose Brand dan bumbu lainnya, aduk rata. Tutup pakai plastik wrap, istirahatkan selama 30 menit.', 'images': ['https://img-global.cpcdn.com/steps/db0111e5135864f3/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/7336da62fcdd3eb7/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/593b505b9105aeba/400x400cq80/photo.jpg']}, {'text': 'Panaskan minyak goreng Rose Brand, goreng ayam pakai minyak panas hingga matang.', 'images': ['https://img-global.cpcdn.com/steps/72ab1c91ac58a1fa/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/9622e4698b4e10c0/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/f4537f670df53f31/400x400cq80/photo.jpg']}, {'text': 'Tumis bawang putih dengan minyak goreng Rose Brand hingga gold, masukkan margarin Rose Brand dan masukkan bawang bombai, masak hingga layu', 'images': ['https://img-global.cpcdn.com/steps/2539d8ebe986e03e/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/8642bff7dd95d946/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/660496960893b64c/400x400cq80/photo.jpg']}, {'text': 'Masukkan gula pasir Rose Brand dan semua bumbu, aduk rata, masukkan ayam dan air, masak hingga kental', 'images': ['https://img-global.cpcdn.com/steps/7b02187156cc40ac/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/8c2d4c8e2ca1c6a4/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/6eccb06b84125e19/400x400cq80/photo.jpg']}, {'text': 'Sajikan', 'images': ['https://img-global.cpcdn.com/steps/9a0504fff008b771/400x400cq80/photo.jpg', 'https://img-global.cpcdn.com/steps/16d44af9614b786d/400x400cq80/photo.jpg']}]","ayam, jeruk nipis, kecap asin, maizena rose brand, merica bubuk, garam, bawang putih, bawang bombai, margarin rose brand, kecap inggris, saus tiram, kecap manis, gula pasir rose brand, air, minyak goreng rose brand"
resep-24984015,"['Kunyit', 'Jahe Se Klingking', '2 Buah Kemiri', '2 Gengggam daun Kemangi', '1 lembar daun Salam', '1 batang sereh', '3 lembar daun Jeruk', '500 Gr dada Ayam', '15 buah cabe Merah Keririting', '3 buah cabe Rawit Merah', '5 siung bawang Merah', '3 siung bawang Putih']","[{'text': 'Rebus Ayam 20 Menitan, Lalu di suwir', 'images': []}, {'text': 'Blender Bawang, Cabe, Kunyit & Jahe, Kemiru', 'images': []}, {'text': 'Tumis bahan yg sudah diblender, Masukan Sereh, Salam, Daun Jeruk', 'images': []}, {'text': 'Masukan Air Secukupnya, Masukan Gula, Garam, Lada.. Koreksi Rasa', 'images': []}, {'text': 'Masukan Ayam, aduk. lalu masukan Kemangi.', 'images': []}]","kunyit, jahe, kemiri, gengggam daun kemangi, daun salam, sereh, daun jeruk, dada ayam, cabe merah keririting, cabe rawit merah, bawang merah, bawang putih"
resep-24976041,"['500 gr ayam sayap', '1 buah jahe', '3 lembar daun salam', '600 ml air (untuk merebus ayam)', 'secukupnya Garam', 'secukupnya Gula aren', 'secukupnya Kecap', 'secukupnya Penyedap rasa', 'secukupnya Minyak', '7 butir bawang merah', '3 butir bawang putih', '2 butir kemiri', '10 cabe merah keriting', '3 cabe setan', '1/2 ruas jahe', 'secukupnya Minyak']","[{'text': 'Cuci bersih ayam lalu rebus ayam dengan jahe dan daun salam, lalu sisihkan', 'images': ['https://img-global.cpcdn.com/steps/9196524c58694c53/400x400cq80/photo.jpg']}, {'text': 'Tuang semua bumbu halus ke dalam sedikit minyak, masak hingga bumbu setengah matang, lalu masukkan ayam yg sudah direbus tadi, masukkan garam, gula, penyedap rasa, kecap, lalu aduk2 dan tambahkan sedikit air, masak hingga air menyusut dan siap dihidangkan', 'images': ['https://img-global.cpcdn.com/steps/a5105b854684bdfc/400x400cq80/photo.jpg']}]","ayam sayap, jahe, daun salam, air, garam, gula aren, kecap, rasa, minyak, bawang merah, bawang putih, kemiri, cabe merah keriting, cabe setan, jahe, minyak"
resep-24984009,"['250 gr Dada Ayam Potong Dadu (Bersihkan Dgn Jeruk Nipis &amp; Garam(', '5 buah Cabe Merah Kriting,', '3 buah Rawit Merah,', '5 buah Cabe Hijau Kriting', '5 Lembar Daun Jeruk (Iris Tipis Memanjang)', '3 siung Bawang Merah', '3 siung Bawang Putih', 'Saori Saos Tiram', 'Garam', 'Gula', 'Lada']","[{'text': 'Rebus Ayam, kurang lebih 15-20 menit', 'images': []}, {'text': 'Cincang kecil2 perbawangan & percabaian', 'images': []}, {'text': 'Tumis Bawang, Masukan Daun Jeruk, Masukan Cabai', 'images': []}, {'text': 'Masukan Gula, Garam, Lada', 'images': []}, {'text': 'Masukan Ayam & Saori. Koreksi Rasa', 'images': []}]","dada ayam dadu bersihkan dgn jeruk nipis garam, cabe merah kriting, rawit merah, cabe hijau kriting, daun jeruk, bawang merah, bawang putih, saori saos tiram, garam, gula, lada"
