id,category,title,ingredients
resep-24955519,ayam,Egg Chicken Roll,"['1 butir telur', '1 butir kuning telur', '60 gr tepung terigu', '15 gr maizena rose brand', '1/2 sdm garam', '1/2 sdm kaldu jamur', '1/4 sdm gula pasir', '3 tetes pewarna kuning', '15 ml minyak', '180 ml air', '300 gr paha ayam fillet', '1 butir putih telur', '3 siung bawang putih (iris, goreng)', '1 siung bawang merah (iris, goreng)', '1 sdm saori', '1 sdm minyak wijen', '1 sdm kecap asin', '1/2 sdm garam', '1/2 sdm lada bubuk', '1/2 sdm kaldu jamur', '1/2 sdm gula pasir', '1/2 sdm bubuk pala (bubuk ngohiong)', '1 sdm tepung tapioka', '1 sdm maizena Rose brand', '40 ml air es', '1 sdm tepung terigu', 'Secukupnya air']"
resep-24983411,ayam,Ayam Panggang Madu Ketumbar,"['500-600 gr Ayam, potong2', '50 gr minyak untuk menumis', '12 gr Kaldu Ayam (1sdt)', '15 ml kecap asin', '15 ml saus tiram', '25 ml kecap manis', '25 ml madu', '15 gr jahe parut (2 ruas jari)', '1 batang serai (18 gr)', '40 gr bawang merah', '30 gr bawang putih', '50 gr kemiri', '5 gr ketumbar bubuk', '2 gr daun salam (2 lembar)', '2 gr lada bubuk', '2 gr garam (1/4 sdt)', '2 gr minyak wijen', '300 ml air']"
resep-24975670,ayam,Ayam Asam Manis Pedas,"['secukupnya Paha ayam dan 2 potong daging ayam ukuran kecil', '2 buah Jeruk nipis', 'secukupnya Garam', '2 sdm Minyak goreng u/ dibalur ke daging ayam sebelum dipanggang', 'secukupnya Minyak goreng', '1 buah Bawang bombay iris', '3 siung Bawang putih iris', 'secukupnya Saus tomat', 'secukupnya Saus cabai', '2 bungkus Saus tiram (difoto 1 bungkus, aslinya aku pakai 2 bungkus agar rasanya lebih mantul)', 'secukupnya Kecap manis (aku pakai produk kecap Sedapp)', 'secukupnya Air bersih', 'secukupnya Buah nenas dipotong kecil', 'secukupnya Cabai merah diiris serong', 'secukupnya Cabai hijau diiris serong', '1 batang Daun bawang diiris tipis (lupa dipakai )']"
resep-24983731,ayam,Ayam panggang teflon,"['1 kg ayam negri (dipotong 10)', '1 buah jeruk nipis', 'Secukupnya air', '1/2 bungkus kecil asam jawa', '2 sdm saus tiram', 'Secukupnya kecap manis', 'Sedikit gula merah', 'Secukupnya garam', '2 buah kemiri', 'Secukupnya penyedap rasa', '7 buah bawang merah', '3 buah bawang putih', '1 sdt lada bubuk/lada bijian', '1/2 sdm ketumbar bijian/bubuk', '1 sdm madu', 'Secukupnya minyak goreng', '5 cm jahe']"
resep-24975281,ayam,Chicken Spicy Wings,"['2 kg sayap ayam', 'Secukupnya minyak untuk menggoreng', '2 sachet saus tiram', '2 sachet bawang putih bubuk', '1 sachet lada bubuk', '1 sdm garam', '1 sdm penyedap/ micin', '4 sdm saus tomat', '8 sdm saus sambal', '3 sdm bubuk paprika', '2 sdm cabe bubuk (saya pakai bon cabe level 10)', '5 sdm palm sugar', '2 sdm minyak wijen']"
resep-24978641,ayam,Ayam Goreng Ketumbar,"['1 ekor ayam (700 gram), potong sesuai selera', '5 sdm maizena', '500 ml minyak untuk menggoreng', '50 ml susu uht', '1 sdm air lemon/jeruk nipis/cuka', '2 sdm ketumbar butir', '5 butir bawang merah', '10 siung bawang putih', '3 lembar daun jeruk', '1 ruas kunyit', '1 ruas jahe', '5 butir kemiri goreng', '2 sdt kaldu jamur', '1 1/4 sdm garam', '25 ml air']"
resep-24978217,ayam,Ayam Goreng Mentega,"['1/2 ekor ayam', '1 bh jeruk nipis', '1 sdm kecap asin', '2 sdm maizena Rose Brand', '1/2 sdt merica bubuk', '1/2 sdt garam', '3 siung bawang putih, geprek', '1/2 bh bawang bombai', '4 sdm Margarin Rose Brand', '3 sdm kecap inggris', '1 sdm saus tiram', '2 sdm kecap manis', '1 sdt Gula Pasir Rose Brand', '50 ml air', 'Secukupnya Minyak Goreng Rose Brand']"
resep-24984015,ayam,Ayam Suwir Pedas Daun Jeruk Kemangi,"['Kunyit', 'Jahe Se Klingking', '2 Buah Kemiri', '2 Gengggam daun Kemangi', '1 lembar daun Salam', '1 batang sereh', '3 lembar daun Jeruk', '500 Gr dada Ayam', '15 buah cabe Merah Keririting', '3 buah cabe Rawit Merah', '5 siung bawang Merah', '3 siung bawang Putih']"
resep-24976041,ayam,Gongso ayam pedas manis,"['500 gr ayam sayap', '1 buah jahe', '3 lembar daun salam', '600 ml air (untuk merebus ayam)', 'secukupnya Garam', 'secukupnya Gula aren', 'secukupnya Kecap', 'secukupnya Penyedap rasa', 'secukupnya Minyak', '7 butir bawang merah', '3 butir bawang putih', '2 butir kemiri', '10 cabe merah keriting', '3 cabe setan', '1/2 ruas jahe', 'secukupnya Minyak']"
resep-24984009,ayam,Tumis Ayam Pedas Daun Jeruk,"['250 gr Dada Ayam Potong Dadu (Bersihkan Dgn Jeruk Nipis &amp; Garam(', '5 buah Cabe Merah Kriting,', '3 buah Rawit Merah,', '5 buah Cabe Hijau Kriting', '5 Lembar Daun Jeruk (Iris Tipis Memanjang)', '3 siung Bawang Merah', '3 siung Bawang Putih', 'Saori Saos Tiram', 'Garam', 'Gula', 'Lada']"
